incident_id,incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg
2ef06870-3602-4f1a-878d-962f7259ad46,Bodfish Fire,Y,2018-01-09T10:29:00Z,2017-06-10T12:17:00Z,Kern County Fire Department,,Kern,5 miles south of Lake Isabella,206.0,100.0,,Kern County Fire Department,-118.47939,35.59804,,https://www.fire.ca.gov/incidents/2017/6/10/bodfish-fire/,2018-01-09T10:29:00Z,2018-01-09,2017-06-10,N,True,False,,,,,,,,,,0.0
4fde57bd-089f-4c24-b224-b60306e1648d,Bear Fire,Y,2021-08-18T14:05:04Z,2021-07-11T13:29:14Z,Kern County Fire,,Kern,Interstate 5 and Bear Trap Road in Kern County.,71.0,100.0,,Kern County Fire,-118.81448,34.85178,Wildfire,https://www.fire.ca.gov/incidents/2021/7/11/bear-fire/,2021-07-12T14:04:51Z,2021-07-12,2021-07-11,N,False,False,,,,,,,,,,0.0
bae93037-2a91-4189-b256-3325cd2b6979,Cotton Fire,Y,2016-06-12T12:30:00Z,2016-06-11T15:04:00Z,Kern County Fire Department,,Kern,"off Highway 41, one mile east of the county line",61.0,100.0,,Kern County Fire Department,-120.251,35.77135,,https://www.fire.ca.gov/incidents/2016/6/11/cotton-fire/,2016-06-12T12:30:00Z,2016-06-12,2016-06-11,N,False,False,,,,,,,,,,
9aeb7f9d-3672-400d-ba4e-2b490220f78d,School Fire,Y,2024-05-03T12:50:48Z,2024-05-02T13:41:00Z,Kern County Fire Department,,Kern, Highway 166 and Basic School Road,1479.0,100.0,,,-119.33179,35.04847,Wildfire,https://www.fire.ca.gov/incidents/2024/5/2/school-fire/,2024-05-03T09:00:00Z,2024-05-03,2024-05-02,N,False,False,,,,,,,,,,0.0
8bba8daf-8d47-43e7-8593-fdfa2dea5228,Pine Fire,Y,2018-01-09T10:27:00Z,2017-06-05T14:02:00Z,Kern County Fire,,Kern,"Pine Mountain Rd., 10 miles NE of Bakersfield",10.0,100.0,,Kern County Fire,-118.796513,35.564124,,https://www.fire.ca.gov/incidents/2017/6/5/pine-fire/,2018-01-09T10:27:00Z,2018-01-09,2017-06-05,N,True,False,,,,,,23.9,0.0,34.0,28.9,1.4
e247e423-6171-4184-9dca-b373de703885,Cedar Fire,Y,2016-10-01T06:00:00Z,2016-08-16T16:35:00Z,Sequoia National Forest,,Kern,"off of Hwy 155 in the Greenhorn Mountains, west of Wofford Heights",29322.0,100.0,,Sequoia National Forest,-118.5678,35.7506,,https://www.fire.ca.gov/incidents/2016/8/16/cedar-fire/,2016-10-01T06:00:00Z,2016-10-01,2016-08-16,N,False,False,,,,,,27.0,0.0,36.0,,1.4
b24e4e25-08ed-410b-87bc-4222a507158b,Dawn Fire,Y,2024-05-07T16:05:43Z,2024-05-04T17:29:05Z,Bureau of Land Management,,Kern,Unknown / TBD,13.0,100.0,,,-118.23,34.9117,Wildfire,https://www.fire.ca.gov/incidents/2024/5/4/dawn-fire/,,,2024-05-04,N,False,False,,,,,,,,,,0.0
4b281a55-65b6-43e8-bab2-3689356d82e5,Way Fire,Y,2014-08-27T18:00:00Z,2014-08-18T14:30:00Z,Kern County Fire / Sequoia National Forest ,,Kern,"north side of Hwy 155, northwest of Wofford Heights",4045.0,100.0,,Kern County Fire / Sequoia National Forest ,-118.4747,35.7206,,https://www.fire.ca.gov/incidents/2014/8/18/way-fire/,2014-08-27T18:00:00Z,2014-08-27,2014-08-18,N,False,False,,,,,,26.3,0.0,31.0,31.6,1.7
fa457abb-66d2-4f82-80fd-452e824e871f,Havilah Fire,Y,2016-08-28T18:50:00Z,2016-08-28T18:50:00Z,USFS Sequoia National Forest,,Kern,south of Lake Isabella,304.0,100.0,,USFS Sequoia National Forest,-118.5097,35.4976,,https://www.fire.ca.gov/incidents/2016/8/28/havilah-fire/,2016-08-28T18:50:00Z,2016-08-28,2016-08-28,N,False,False,,,,,,,,,,0.0
46c4f0c2-6760-4e42-ac2f-ec25c2486628,Creek Fire ,Y,2018-01-09T10:24:00Z,2017-06-04T22:11:00Z,"Kern County Fire Department, CAL FIRE and Bureau of Land Management",,Kern,"off Erskine Creek Rd and Pasadena Ln, southwest of Lake Isabella",33.0,100.0,,"Kern County Fire Department, CAL FIRE and Bureau of Land Management",-118.4642,35.60633,,https://www.fire.ca.gov/incidents/2017/6/4/creek-fire/,2018-01-09T10:24:00Z,2018-01-09,2017-06-04,N,True,False,,,,,,,,,,0.0
adf741f6-5416-41c5-af26-01240cc361cf,Elk Fire,Y,2018-01-09T10:23:00Z,2017-06-02T18:55:00Z,Kern County Fire Department,,Kern,4 miles south of Buttonwillow ,16.0,100.0,,Kern County Fire Department,-119.2877,35.188,,https://www.fire.ca.gov/incidents/2017/6/2/elk-fire/,2018-01-09T10:23:00Z,2018-01-09,2017-06-02,N,True,False,,,,,,,,,,0.0
2656ad63-b3e1-467f-9982-0229fd31c0f5,Range Fire,Y,2022-10-24T11:13:57Z,2016-08-26T10:10:00Z,Kern County Fire Department,,Kern,"off Deer Trail Dr & Hwy 223, 6 miles east of Arvin",600.0,100.0,,Kern County Fire Department,-118.7212,35.2013,,https://www.fire.ca.gov/incidents/2016/8/26/range-fire/,2016-08-29T10:30:00Z,2016-08-29,2016-08-26,N,True,False,,,,,,24.5,0.0,39.0,26.8,1.5
dd4afe59-3fa5-4505-b519-ae21aaf822a0,Mocal Fire,Y,2024-06-28T11:21:08Z,2024-05-28T16:31:00Z,Kern County Fire Department,,Kern,West of Fellows,116.0,100.0,,,-119.558308,35.180776,Wildfire,https://www.fire.ca.gov/incidents/2024/5/28/mocal-fire/,2024-05-29T00:00:00Z,2024-05-29,2024-05-28,N,True,False,,,,,,,,,,0.0
c4439647-cf64-4a5f-bec1-3a228d5249f2,Sherwood Fire,Y,2024-06-28T12:18:17Z,2024-05-10T10:15:00Z,Kern County Fire Department,,Kern,North of Sherwood Ave & Famoso Woody Rd,353.0,100.0,,,-118.9429,35.7193,Wildfire,https://www.fire.ca.gov/incidents/2024/5/10/sherwood-fire/,,,2024-05-10,N,False,False,,,,,,22.3,0.0,48.0,22.6,1.3
fc8bd27a-c3c8-405d-b13a-d9a1396206e3,Peak Fire,Y,2021-08-17T11:55:25Z,2021-07-20T11:40:00Z,Bureau Land Management,,Kern,"Walker Basin Road and Piute Mountain Road, South of Lake Isabella",2098.0,100.0,,Bureau of Land Management Nothern California District ,-118.46461,35.41153,Wildfire,https://www.fire.ca.gov/incidents/2021/7/20/peak-fire/,2021-08-13T11:55:13Z,2021-08-13,2021-07-20,N,False,False,,,,,,,,,,0.0
6fa64139-e5d1-4134-b012-5c1b272ac89a,Champagne Fire,Y,2018-01-09T10:17:00Z,2017-05-28T10:59:00Z,Kern County Fire Department,,Kern,10 miles West of Rosamond,10.0,100.0,,Kern County Fire Department,-118.35296,34.87128,,https://www.fire.ca.gov/incidents/2017/5/28/champagne-fire/,2018-01-09T10:17:00Z,2018-01-09,2017-05-28,N,True,False,,,,,,,,,,0.0
