incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg
Queen Fire,Y,2015-08-01T21:45:00Z,2015-07-24T23:00:00Z,CAL FIRE Humboldt-Del Norte Unit,,Humboldt,"off Hwy 169 & McKinnon Hill Rd, 5 miles southeast of Pecwan",158.0,100.0,,"CAL FIRE Humboldt-Del Norte Unit, California Department of Corrections and Rehabilitation",-123.784067,41.295667,,8be9d271-ed9c-4bc9-9c22-4eff8956ab7b,https://www.fire.ca.gov/incidents/2015/7/24/queen-fire/,2015-08-01T21:45:00Z,2015-08-01,2015-07-24,N,True,False,,,,,,17.0,0.0,49.0,20.5,1.6
McCovey Fire,Y,2022-09-03T19:38:05Z,2022-08-29T19:53:00Z,CAL FIRE Humboldt-Del Norte Unit,,Humboldt,"Hwy 169 near McCovey Ranch on the Klamath River, southeast of Klamath",25.0,100.0,,,-123.9277,41.4672,Wildfire,68202561-738b-4e30-a004-7ed156939fe8,https://www.fire.ca.gov/incidents/2022/8/29/mccovey-fire/,2022-08-30T17:30:40Z,2022-08-30,2022-08-29,N,True,False,,,,,,20.8,0.0,39.0,22.1,1.6
Lincoln Fire,Y,2020-08-03T09:44:30Z,2020-07-27T18:50:25Z,Samoa Fire Protection District,,Humboldt,"Bendixsen Street and Simpson Private Road, Samoa",25.0,100.0,,Samoa Fire Protection District,-124.19954,40.78804,Wildfire,4751b58f-771f-4d9c-b742-4aad10ef45eb,https://www.fire.ca.gov/incidents/2020/7/27/lincoln-fire/,2020-07-31T09:44:00Z,2020-07-31,2020-07-27,N,False,False,,,,,,26.7,0.0,55.0,24.4,2.1
Mill Creek 4 Fire,Y,2024-09-15T12:23:28Z,2024-09-07T16:12:16Z,Bureau of Indian Affairs,,Humboldt,"Mill Creek, north of Hoopa",25.0,100.0,,,-123.6761,41.1088,Wildfire,6f67d619-6533-4889-a740-c0d018ae9cda,https://www.fire.ca.gov/incidents/2024/9/7/mill-creek-4-fire/,2024-09-12T17:00:00Z,2024-09-12,2024-09-07,N,False,False,,,,,,18.0,0.0,46.0,17.2,2.0
Green Hill Fire,Y,2019-01-04T08:46:00Z,2018-11-12T17:39:00Z,CAL FIRE Humboldt - Del Norte Unit,,Humboldt,off Highway 299 in the area of Green Hill,10.0,100.0,,CAL FIRE Humboldt - Del Norte Unit,-124.001849,40.888785,,116fabb6-7440-4d6d-aa89-668989c028db,https://www.fire.ca.gov/incidents/2018/11/12/green-hill-fire/,2019-01-04T08:46:00Z,2019-01-04,2018-11-12,N,True,False,,,,,,10.0,0.0,30.0,11.5,2.3
Ranch Fire,Y,2022-09-02T10:27:19Z,2022-08-29T07:53:00Z,CAL FIRE Humboldt Del-Norte Unit ,,Humboldt,HWY 169 Near McCovey Ranch on the East side of the Klamath River,26.0,100.0,,,-123.9477,41.4626,Wildfire,2632aae9-5451-4021-b9ec-3c68909133a7,https://www.fire.ca.gov/incidents/2022/8/29/ranch-fire/,2022-09-01T17:00:00Z,2022-09-01,2022-08-29,N,True,False,,,,,,20.8,0.0,39.0,22.1,1.6
Bear Fire ,Y,2020-02-16T09:24:05Z,2020-02-15T17:48:27Z,CAL FIRE Humboldt-Del Norte Unit,,Humboldt,"Bear Creek Road and Anderson Ford Road, Northwest of Highway 36 at Dinsmore",15.0,100.0,,,-123.6378411,40.511092,Wildfire,94f20083-2412-4058-bc16-afa6b45c3935,https://www.fire.ca.gov/incidents/2020/2/15/bear-fire/,,,2020-02-15,N,True,False,,,,,,9.5,0.0,76.0,9.5,1.3
Pilot Fire,Y,2019-01-15T10:38:00Z,2019-01-01T14:14:00Z,CAL FIRE Humbolt-Del Norte Unit,,Humboldt,"Pilot Ridge Rd & USFS Route 1, southwest of Willow Creek",30.0,100.0,,CAL FIRE Humbolt-Del Norte Unit,-123.67555556,40.61805556,,6004d3e5-66f8-487a-80a4-689d3852378c,https://www.fire.ca.gov/incidents/2019/1/1/pilot-fire/,2019-01-15T10:38:00Z,2019-01-15,2019-01-01,N,True,False,,,,,,5.4,0.0,43.0,6.3,2.9
Red Fire,Y,2014-01-08T19:15:00Z,2014-01-04T12:00:00Z,CAL FIRE Humboldt Del-Norte Unit,,Humboldt,"South of Berry Summit, west of Willow Creek",333.0,100.0,,CAL FIRE Humboldt Del-Norte Unit,-123.773779,40.884415,,6d75c6a4-12cb-4f18-8951-f2737e980916,https://www.fire.ca.gov/incidents/2014/1/4/red-fire/,2014-01-08T19:15:00Z,2014-01-08,2014-01-04,N,True,False,,,,,,10.1,0.0,33.0,8.0,3.5
Johnson Fire,Y,2019-01-04T09:43:00Z,2018-07-15T16:14:00Z,CAL FIRE Humboldt-Del Norte Unit,,Humboldt,Highway 169 in Pecwan,16.0,100.0,,CAL FIRE Humboldt-Del Norte Unit,-123.85404,41.34453,,8c94a8f0-1d63-4ea7-88af-52fee196a9a6,https://www.fire.ca.gov/incidents/2018/7/15/johnson-fire/,2019-01-04T09:43:00Z,2019-01-04,2018-07-15,N,True,False,,,,,,17.9,12.8,71.0,21.4,1.5
SRF Lightning Complex,Y,2023-12-05T14:31:03Z,2023-08-20T11:16:48Z,Six Rivers National Forest ,,Humboldt,Humboldt County,50198.0,100.0,,,-123.611167,41.017222,Wildfire,ad8025a3-0060-49db-a048-bce567ee0a57,https://www.fire.ca.gov/incidents/2023/8/20/srf-lightning-complex/,2023-10-29T11:53:12Z,2023-10-29,2023-08-20,N,False,False,,,,,,21.3,0.0,48.0,18.7,1.9
