incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg
Joshua Fire,Y,2024-09-15T11:40:37Z,2024-09-11T01:01:31Z,Los Angeles County Fire Department,,Los Angeles,"Mount Emma Road / East of 47th Street, Palmdale",30.0,100.0,,,-118.045033,34.50295,Wildfire,02289a33-8abe-468b-93bf-55ef3ec7122f,https://www.fire.ca.gov/incidents/2024/9/11/joshua-fire/,,,2024-09-11,N,False,False,,,,,,,,,,0.0
Cindy Fire ,Y,2024-09-29T18:55:07Z,2024-09-28T18:12:31Z,,,Los Angeles,"14 Freeway and East Barrel Springs Rd, Palmdale",13.0,100.0,,,-118.1176558,34.5352699,Wildfire,9a4f6a74-807d-4be5-bb55-c072f7600b83,https://www.fire.ca.gov/incidents/2024/9/28/cindy-fire/,2024-09-29T08:00:00Z,2024-09-29,2024-09-28,N,False,False,,,,,,,,,,0.0
Lago Fire,Y,2024-10-07T15:52:20Z,2024-10-02T02:19:22Z,Angeles National Forest,,Los Angeles,"Ridge Route Road and Lake Hughes Road, Castaic",25.0,100.0,,,-118.616267,34.497433,Wildfire,a32d77be-a62d-444a-9872-68f997469297,https://www.fire.ca.gov/incidents/2024/10/2/lago-fire/,2024-10-06T08:00:00Z,2024-10-06,2024-10-02,N,False,False,,,,,,,,,,0.0
Moon Fire,Y,2024-12-20T09:17:10Z,2024-08-13T14:08:09Z,Angeles National Forest,,Los Angeles,Unknown / TBD,15.0,100.0,,,-117.8406047,34.284624,Wildfire,b50cc0ce-29f2-4300-9014-747d94b7a5e4,https://www.fire.ca.gov/incidents/2024/8/13/moon-fire/,2024-08-14T10:14:00Z,2024-08-14,2024-08-13,N,False,False,,,,,,26.0,0.0,47.0,23.3,1.8
Tick Fire,Y,2019-10-31T07:39:12Z,2019-10-24T14:51:46Z,Los Angeles County Fire Department ,,Los Angeles,"Tick Canyon Rd and Summit Knoll Rd, Canyon Country",4615.0,100.0,,Los Angeles County Fire Department ,-118.368056,34.472778,Wildfire,020310d3-7834-4f57-a125-eff0eb3f54e5,https://www.fire.ca.gov/incidents/2019/10/24/tick-fire/,,,2019-10-24,N,False,False,,,,,,,,,,0.0
Powerhouse Fire,Y,2013-06-08T18:30:00Z,2013-05-30T15:28:00Z,USFS Angeles National Forest/Los Angeles County/CAL FIRE,,Los Angeles,Angeles National Forest,30274.0,100.0,,USFS Angeles National Forest/Los Angeles County/CAL FIRE,-118.423176,34.585595,,bf37805e-1cc2-4208-9972-753e47874c87,https://www.fire.ca.gov/incidents/2013/5/30/powerhouse-fire/,2013-06-08T18:30:00Z,2013-06-08,2013-05-30,N,True,False,,,,,,,,,,0.0
Columbia Fire,Y,2024-06-28T19:37:06Z,2024-06-26T16:04:14Z,Los Angeles County Fire Department,,Los Angeles,"60th Street West near West Avenue C, Lancaster",356.0,100.0,,,-118.325308,34.72313,Wildfire,9013c77d-b3dc-48c2-8169-5be382acd2e5,https://www.fire.ca.gov/incidents/2024/6/26/columbia-fire/,,,2024-06-26,N,False,False,,,,,,,,,,0.0
West Fire,Y,2024-06-20T10:08:20Z,2024-06-15T17:21:25Z,Los Angeles County Fire Department,,Los Angeles,"Near West Avenue G, Lancaster",300.0,100.0,,,-118.29017,34.73279,Wildfire,520a9130-6e98-4f88-b654-0e77e33edb04,https://www.fire.ca.gov/incidents/2024/6/15/west-fire/,2024-06-15T08:09:00Z,2024-06-15,2024-06-15,N,False,False,,,,,,,,,,0.0
Rowher Fire,Y,2020-08-13T10:43:47Z,2020-07-01T16:43:16Z,Angeles National Forest ,,Los Angeles,"Spring Canyon Road and Anthony Road, North of Santa Clarita ",648.0,100.0,,Angeles National Forest ,-118.324601,34.542742,Wildfire,ba60e1c4-d812-4b33-9a2e-b240a1b29408,https://www.fire.ca.gov/incidents/2020/7/1/rowher-fire/,2020-07-05T10:43:00Z,2020-07-05,2020-07-01,N,False,False,,,,,,,,,,0.0
Magic Fire,Y,2013-05-29T15:30:00Z,2013-05-28T11:30:00Z,Los Angeles County Fire Department,,Los Angeles,off Magic Mtn Parkway in Valencia,149.0,100.0,,Los Angeles County Fire Department,-118.58688,34.419284,,794412f2-1ba2-4217-ac38-49272a96fb6f,https://www.fire.ca.gov/incidents/2013/5/28/magic-fire/,2013-05-29T15:30:00Z,2013-05-29,2013-05-28,N,True,False,,,,,,19.0,0.0,65.0,22.5,1.6
