FeatureSet,Model,Accuracy,F1 Score,AUC
StdFeatures,Gradient Boosting,0.6853932584269663,0.6326530612244898,0.7649500998003992
StdFeatures,XGBoost,0.6966292134831461,0.6301369863013698,0.7852761144377911
RatioFeatures,Logistic Regression,0.6754057428214731,0.5924764890282131,0.7518030605455757
RatioFeatures,Random Forest,0.6903870162297129,0.6276276276276276,0.7752827677977379
RatioFeatures,Decision Tree,0.6466916354556804,0.5472,0.6316034597471724
RatioFeatures,Gradient Boosting,0.6766541822721598,0.6240928882438317,0.7481071190951429
RatioFeatures,XGBoost,0.6853932584269663,0.6086956521739131,0.7676513639387891
CumulativeLoad,Logistic Regression,0.682896379525593,0.5981012658227848,0.7533333333333334
CumulativeLoad,Random Forest,0.6841448189762797,0.6184012066365008,0.7721224218230207
CumulativeLoad,Decision Tree,0.630461922596754,0.5375,0.622581503659348
CumulativeLoad,Gradient Boosting,0.6754057428214731,0.6176470588235294,0.7527212242182302
CumulativeLoad,XGBoost,0.6916354556803995,0.6182380216383307,0.7787957418496341
SoilDrynessIndex,Logistic Regression,0.6679151061173533,0.56957928802589,0.74979374584165
SoilDrynessIndex,Random Forest,0.7028714107365793,0.6393939393939394,0.7872055888223553
SoilDrynessIndex,Decision Tree,0.6267166042446941,0.526148969889065,0.6142315369261477
SoilDrynessIndex,Gradient Boosting,0.6816479400749064,0.62882096069869,0.7584564204923486
SoilDrynessIndex,XGBoost,0.7028714107365793,0.6338461538461538,0.7783832335329341
MinMaxQuantile+TrendDiff,Logistic Regression,0.6891385767790262,0.6078740157480315,0.7527877578176979
MinMaxQuantile+TrendDiff,Random Forest,0.7028714107365793,0.6404833836858006,0.7789454424484366
MinMaxQuantile+TrendDiff,Decision Tree,0.6504369538077404,0.5555555555555556,0.642315369261477
MinMaxQuantile+TrendDiff,Gradient Boosting,0.6791510611735331,0.620384047267356,0.7567198935462409
MinMaxQuantile+TrendDiff,XGBoost,0.7016229712858927,0.6259780907668232,0.7838456420492349
MinMaxQuantile+ExtremeFlags,Logistic Regression,0.6891385767790262,0.6066350710900474,0.7532069194943446
MinMaxQuantile+ExtremeFlags,Random Forest,0.6916354556803995,0.6263237518910741,0.7824417831004657
MinMaxQuantile+ExtremeFlags,Decision Tree,0.6404494382022472,0.5369774919614148,0.624544244843646
MinMaxQuantile+ExtremeFlags,Gradient Boosting,0.6791510611735331,0.6259097525473072,0.7505888223552895
MinMaxQuantile+ExtremeFlags,XGBoost,0.6928838951310862,0.6203703703703703,0.7778775781769793
MinMaxQuantile+InteractionFeatures,Logistic Regression,0.6841448189762797,0.6040688575899843,0.7532135728542914
MinMaxQuantile+InteractionFeatures,Random Forest,0.7016229712858927,0.6351145038167939,0.7773386560212907
MinMaxQuantile+InteractionFeatures,Decision Tree,0.66167290886392,0.5705229793977813,0.6490685296074518
MinMaxQuantile+InteractionFeatures,Gradient Boosting,0.6754057428214731,0.6176470588235294,0.7503193612774451
MinMaxQuantile+InteractionFeatures,XGBoost,0.6816479400749064,0.595879556259905,0.7822022621423819
MinMaxQuantile+StdFeatures,Logistic Regression,0.6878901373283396,0.6056782334384858,0.7553027278775781
MinMaxQuantile+StdFeatures,Random Forest,0.7166042446941323,0.6596701649175413,0.7866699933466401
MinMaxQuantile+StdFeatures,Decision Tree,0.6641697877652933,0.5777080062794349,0.652814371257485
MinMaxQuantile+StdFeatures,Gradient Boosting,0.686641697877653,0.6335766423357664,0.7551763140385895
MinMaxQuantile+StdFeatures,XGBoost,0.686641697877653,0.6059654631083202,0.784777112441783
MinMaxQuantile+RatioFeatures,Logistic Regression,0.6841448189762797,0.6053042121684867,0.7524417831004657
MinMaxQuantile+RatioFeatures,Random Forest,0.6991260923845194,0.6275115919629057,0.7811111111111111
MinMaxQuantile+RatioFeatures,Decision Tree,0.6379525593008739,0.5337620578778135,0.6230838323353295
MinMaxQuantile+RatioFeatures,Gradient Boosting,0.6816479400749064,0.6277372262773723,0.7509447771124418
MinMaxQuantile+RatioFeatures,XGBoost,0.6704119850187266,0.5938461538461538,0.7668862275449102
MinMaxQuantile+CumulativeLoad,Logistic Regression,0.6816479400749064,0.5945945945945946,0.7510911510312708
MinMaxQuantile+CumulativeLoad,Random Forest,0.6953807740324595,0.6347305389221557,0.775878243512974
MinMaxQuantile+CumulativeLoad,Decision Tree,0.6416978776529338,0.5408,0.6281570192947439
