,latitude,longitude,FBFM_VALUE
187,1523820.0,-2155980.0,-9999
188,2178630.0,-2344260.0,-9999
189,1501650.0,-2118240.0,-9999
190,2215860.0,-2341830.0,-9999
191,2221050.0,-2344500.0,-9999
192,1510980.0,-2129520.0,-9999
193,1529760.0,-2161350.0,-9999
194,1521690.0,-2145540.0,-9999
195,2220780.0,-2348400.0,-9999
196,2173740.0,-2346480.0,-9999
197,1512390.0,-2138730.0,-9999
198,2218950.0,-2347530.0,-9999
199,1537020.0,-2174610.0,-9999
200,1508430.0,-2127840.0,-9999
201,1964130.0,-2290380.0,-9999
202,1518450.0,-2143920.0,-9999
203,1520430.0,-2135040.0,-9999
204,2215080.0,-2339070.0,-9999
205,1515150.0,-2143530.0,-9999
206,2169600.0,-2348430.0,-9999
207,2191140.0,-2338950.0,-9999
208,2183340.0,-2338650.0,-9999
209,1498410.0,-2116470.0,-9999
210,1525620.0,-2149740.0,-9999
211,2173260.0,-2343090.0,-9999
212,2149440.0,-2341770.0,12
213,2202210.0,-2338680.0,-9999
214,2154600.0,-2337030.0,12
215,2134830.0,-2348070.0,-9999
216,2224470.0,-2343120.0,-9999
217,2172240.0,-2343720.0,-9999
218,1516830.0,-2141280.0,-9999
219,1531020.0,-2161770.0,-9999
220,2188020.0,-2344110.0,-9999
221,2244030.0,-2347110.0,-9999
222,2220360.0,-2341110.0,-9999
223,1508880.0,-2129970.0,-9999
224,2190060.0,-2339250.0,-9999
225,1531080.0,-2163210.0,-9999
226,2208060.0,-2348610.0,-9999
227,2182410.0,-2338590.0,-9999
228,2184930.0,-2340600.0,-9999
229,2177010.0,-2345400.0,-9999
230,2083530.0,-2330730.0,12
231,1522650.0,-2151390.0,-9999
232,2203020.0,-2343450.0,-9999
233,2221050.0,-2344140.0,-9999
234,1535220.0,-2174160.0,-9999
235,2203290.0,-2343240.0,-9999
236,1537440.0,-2177010.0,-9999
237,2215530.0,-2340330.0,-9999
238,1520670.0,-2153250.0,-9999
239,2200560.0,-2346000.0,-9999
240,1513380.0,-2126670.0,-9999
